"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 07:22:12 UTC 2026","Wed Mar 25 07:22:12 UTC 2026","4","tests.contract.users","test_get_user_contract","","","","test_get_all_users_contract",""
"passed","Wed Mar 25 07:22:09 UTC 2026","Wed Mar 25 07:22:09 UTC 2026","4","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_invalid_api_key_contract",""
"passed","Wed Mar 25 07:21:42 UTC 2026","Wed Mar 25 07:21:42 UTC 2026","81","tests.api.users","test_get_user_api","","","","test_user_with_adopted_cat",""
"passed","Wed Mar 25 07:21:50 UTC 2026","Wed Mar 25 07:21:50 UTC 2026","4","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_invalid_id_format_contract[invalid id format]",""
"passed","Wed Mar 25 07:22:05 UTC 2026","Wed Mar 25 07:22:05 UTC 2026","4","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_payload[payload0-missing 'lastVaccination']",""
"passed","Wed Mar 25 07:21:45 UTC 2026","Wed Mar 25 07:21:45 UTC 2026","66","tests.contract.auth","test_register_contract","","","","test_register_contract_success",""
"passed","Wed Mar 25 07:21:59 UTC 2026","Wed Mar 25 07:21:59 UTC 2026","5","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_id_format[float id format]",""
"passed","Wed Mar 25 07:21:41 UTC 2026","Wed Mar 25 07:21:42 UTC 2026","87","tests.api.users","test_delete_user_api","","","","test_user_deletion_sets_cat_owner_to_null",""
"passed","Wed Mar 25 07:21:59 UTC 2026","Wed Mar 25 07:21:59 UTC 2026","7","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_id_format[nonexistent id]",""
"passed","Wed Mar 25 07:21:42 UTC 2026","Wed Mar 25 07:21:42 UTC 2026","70","tests.api.users","test_get_user_api","","","","test_get_user_by_id",""
"passed","Wed Mar 25 07:21:45 UTC 2026","Wed Mar 25 07:21:45 UTC 2026","4","tests.contract.auth","test_login_contract","","","","test_login_validation_error_contract[payload3-empty payload]",""
"passed","Wed Mar 25 07:22:09 UTC 2026","Wed Mar 25 07:22:09 UTC 2026","4","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_empty_api_key_contract",""
"passed","Wed Mar 25 07:21:30 UTC 2026","Wed Mar 25 07:21:40 UTC 2026","10005","tests.api.external-api","test_register_chip_api","","","","test_register_chip_timeout",""
"passed","Wed Mar 25 07:22:08 UTC 2026","Wed Mar 25 07:22:08 UTC 2026","4","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_external_system_erro_contract",""
"passed","Wed Mar 25 07:22:15 UTC 2026","Wed Mar 25 07:22:15 UTC 2026","135","tests.contract.users","test_make-admin_contract","","","","test_make_admin_forbidden",""
"passed","Wed Mar 25 07:22:03 UTC 2026","Wed Mar 25 07:22:03 UTC 2026","10","tests.contract.cats","test_get_cat_contract","","","","test_get_cat_by_Id_contract",""
"passed","Wed Mar 25 07:21:44 UTC 2026","Wed Mar 25 07:21:44 UTC 2026","249","tests.contract.auth","test_login_contract","","","","test_login_contract_success",""
"passed","Wed Mar 25 07:21:51 UTC 2026","Wed Mar 25 07:21:56 UTC 2026","5014","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_timeout_contract",""
"passed","Wed Mar 25 07:22:01 UTC 2026","Wed Mar 25 07:22:01 UTC 2026","4","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload4-invalid type of 'medicalStatus']",""
"passed","Wed Mar 25 07:22:11 UTC 2026","Wed Mar 25 07:22:11 UTC 2026","136","tests.contract.users","test_delete_user_contract","","","","test_delete_user_forbidden",""
"passed","Wed Mar 25 07:22:16 UTC 2026","Wed Mar 25 07:22:16 UTC 2026","6","tests.contract.users","test_make-admin_contract","","","","test_make_admin_invalid_id_format[nonexistent id]",""
